Quantity,Brand,Part Number,Subcategory,Application,Engine,Description,Jobber,Public Price,Last Purchase,Last Sale,Category,Dealer,Type
,Hawk Performance,HB145N.570,Brake,Honda Civic Si 2.0L 06-11,2.0L,Hawk 06+ Civic Si HP+ Street Rear Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB194B.570,Brake,Chevrolet Camaro ZL1 2012-2015,6.2SC,Hawk 2005-2005 Volvo S40 I HPS 5.0 Rear Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB361W.622,Brake,Honda Civic Si 06-11,2.0L,Hawk 02-06 Acura RSX Type S / 06-11 Honda Civic Si Coupe / 00-09 S2000 DTC-30 Race Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB453V.585,Brake,Subaru WRX STi +07,2.5T,Hawk 03-06 Evo / 04-09 STi / 09-10 Genesis Coupe (Track Only) / 2010 Camaro SS HT-14 Race Front Brak,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB523W.539,Brake,Mazda MX-5 2.0L 16-22,2.0L,Hawk 06-10 Mazda Miata MX-5 DTC-30 Race Rear Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB533B.668,Brake,Subaru Impreza WRX +15,2.0T,Hawk 2006-2007 Subaru B9 Tribeca Limited HPS 5.0 Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB533N.668,Brake,Subaru Impreza WRX 2.0T +15,2.0T,Hawk 05-08 LGT D1078 HP+ Street Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB540W.490,Brake,Mazda MX-5 2.0L 16-21,2.0L,Hawk Wilwood DTC-30 Brake Pads for Wilwood 7112,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB551B.748,Brake,BMW 1M 2011 E82,3.0TT,Hawk 2011 BMW 1-Series M HPS 5.0 Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB557B.545,Brake,Subaru Impreza WRX +15,2.0T,Hawk 2013-2014 Subaru BRZ Ltd (277mm Fr Disc/Solid Rr Disc) High Perf. Street 5.0 Rear Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB565B.688,Brake,Mazda 6 06-13,All,Hawk 06-10 Mazda6 HPS 5.0 Street Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB649B.605,Brake,Chevrolet Camaro ZL1 2012-2015,6.2SC,Hawk 2008-2014 Cadillac CTS V HPS 5.0 Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB765G.664,Brake,Mini Cooper F56 JCW 2.0T,2.0T,Hawk 2012-2015 BMW 228i DTC-60 Race Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB773N.664,Brake,Ford Mustang Ecoboost 2.3T +15,2.3T,Hawk 15-17 Ford Mustang HP Plus Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB774Z.650,Brake,Ford Mustang GT 15-20,5.0L,Hawk 15-17 Ford Mustang Performance Ceramic Rear Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB800V.670,Brake,Ford Mustang +11 Wilwood Front Caliper,5.0L,Hawk Wilwood 17mm 6617 Calipers DTC-50 Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB800W.670,Brake,Ford Mustang +11 Wilwood Rear Caliper,5.0L,Hawk Wilwood 17mm 6617 Claliper Brake Pad Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB802N.661,Brake,Ford Mustang V8 5.0L +15,5.0L,Hawk 16-17 Ford Mustang HP+ Street Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HB903W.604,Brake,Ford Mustang Shelby GT350 15-20,5.2L,Hawk 15-17 Ford Mustang Shelby GT350/GT350R DTC-30 Front Race Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HKC4896.712B,Brake,Ford Focus ST 2.0T,2.0T,Hawk Talon 2013 Ford Escape 4WD Drilled and Slotted Front + Street 5.0 Front Brake Pads,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HTC4254,Brake,Ford F150 Raptor 2015-2021,3.5TT,Hawk Talon 2007 Ford Expedition Drilled and Slotted Front Brake Rotor Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Hawk Performance,HTC4283,Brake,Ford F150 Raptor 2015-2021,3.5TT,Hawk Talon 2012 Ford F-150 6 Lugs Drilled and Slotted Rear Brake Rotor Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,11004-AS001,Turbo/SC,Suzuki Swift 1.4T +17,1.4T,HKS ZC33S GTIII-FX SPORTS TURBINE KIT,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,13001-AS002,Turbo/SC,Suzuki Swift 1.4T +17,1.4T,HKS I/C R-type ZC33S K14C(Turbo),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,14019-AF002,Exhaust,Subaru WRX/STI 08-16,2.5T,HKS EJ25 SUH 409 Turbo Exhaust Manifold,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,23001-AT002,Engine,Subaru BRZ +12,2.0L,HKS SMG/K FA20 t=0.5,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,31021-BF001,Exhaust,Subaru Impreza WRX/STi +15,2.0T/2.5T,HKS LEGAMAX Premium WRX STI/WRX 2015 US,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,70019-AK106,Air Filter,Universal,All,HKS SPF ASSY 200-100,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,HKS,70019-AS111,Air Filter,Suzuki Swift 1.4T +17,1.4T,HKS SPF ZC33S,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Holley,223-04,Maintenance,Ford Mustang GT 11-14,5.0L,Holley Intake Cold Air Intake Kit Ford 5.0L V8,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injector Dynamics,1050.18.04.36.11.4,Fuel,Subaru BRZ +12,2.0L,Injector Dynamics ID1050 Injectors Subaru BRZ / FA20 2.0L 11 Machined Top WRX-16B Bottom Adaptors,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injector Dynamics,1050.48.11.WRX.4,Fuel,Subaru WRX/STi 08-14,2.5T,Injector Dynamics ID1050X Injectors WRX-16B Bottom Adaptors 11mm (Red) Adaptors (Set of 4),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injector Dynamics,1050.48.14.14.8,Fuel,Dodge Hellcat/Trackhawk,6.2SC,Injector Dynamics ID1050X Injectors 14mm (Grey) Adaptor Top (Set of 8),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injector Dynamics,1050.48.14.R35.6,Fuel,Nissan 370Z +09,3.7L,Injector Dynamics ID1050X Injectors 14mm (Grey) Adaptor Top GTR Lower Spacer (Set of 6),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injector Dynamics,1050.60.14.14B.4,Fuel,Mazda MX-5 NC 06-15,1.8L/2.0L,Injector Dynamics 1050X Injectors 14mm (Grey) Adaptor Top - (Silver) Bottom Adapter (Set of 4),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,1800RG,Air Filter,Mitsubishi Lancer Evolution X L4 2.0L Turbo Rain Guard (For EVO1800),2.0L,Injen 08-15 Mitsubishi Lancer Evolution X L4 2.0L Turbo Rain Guard (For EVO1800),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO1102,Air Filter,BMW M2/M3/M4 6L 3.0TT S55,3.0TT,Injen 15-20 BMW M3/M4 3.0L Evolution Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO1103,Air Filter,BMW 120i N20,2.0T,Injen 12-16 BMW 328i/ix F30/F31/F34 / 14-16 BMW 428i/ix F36 / 14-16 228i/ix F22 Evolution Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO1500,Air Filter,Honda Civic 1.5T 16-21,1.5T,Injen 16-20 Honda Civic/Civic Sport I4-1.5T Evolution Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO5100,Air Filter,Dodge Challenger V8 5.7 11-19,5.7L,Injen 11-19 Dodge Challenger V8-5.7L Hemi Evolution Intake (Oiled),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO7103,Air Filter,Chevrolet V8 5.3L 14-20 Truck SUV,5.3L,Injen 15-19 Cadillac Escalade V8 6.2L Evolution Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO7301,Air Filter,2016-2020 Chevrolet Camaro SS V8-6.2L,6.2L,2016-2020 Chevrolet Camaro SS V8-6.2L,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO9104,Air Filter,Ford F-150/Expedition V6 2.7L/3.5L,2.7TT/3.5TT,Injen 15-20 Ford F-150 V6-2.7L(tt) EcoBoost Evolution Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,EVO9203,Air Filter,Ford Mustang Ecoboost 2.3T +15,2.3T,Injen 15-19 Ford Mustang EcoBoost 2.3L L4 Evolution Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,PF5005WB,Air Filter,Jeep Wrangler JL +18,3.6L,Injen 2018+ Jeep Wrangler JL V6-3.6L Wrinkle Black Power-Flow Air Intake System,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,PF5020WB,Air Filter,Dodge Durango 3.6L V6 Wrinkle Black Power-Flow Short Ram Intake w/ MR Tech & Nano Filter,3.6L,Injen 11 Dodge Durango 3.6L V6 Wrinkle Black Power-Flow Short Ram Intake w/ MR Tech & Nano Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,RD1110P,Air Filter,BMW 328Ci 00,2.5L,Injen 99-00 323 E46 2.5L 99-00 328 E46 2.8L 2001 325 2.5L Polished Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,RD3015BLK,Air Filter,Volkswagen Golf 99-05,2.0L,Injen 99-05 Volkswagen Golf / Jetta I4-1.8L &amp; 2.0 Turbo *Special Order*,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP1122P,Air Filter,"BMW N20 120i, 128i, 228i, 320i, 328i, 428i F20/F21/F22/F30/F32/F33/F36 12-17",2.0T,Injen 12-16 BMW 328i F30 N20/N26 2.0L (t) 4cyl Polished Short Ram Intake w/MR Tech & Air Box w/Scoop,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP1122WB,Air Filter,BMW 328i F30 N20/N26 2.0L 12-16,2.0T,Injen 12-16 BMW 328i F30 N20/N26 2.0L (t) 4cyl Wrinkle Black Short Ram Intake w/ MR Tech & Air Box,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP1126WB,Air Filter,BMW 135i/335i N54 E90 11-14,3.0T,"Injen 11 BMW E82 135i (N55) Turbo/E90 335i Wrinkle Black Tuned Air Intake w/ MR Tech, Air Fusion",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP1225BLK,Air Filter,Subaru Impreza 2.0L 12,2.0L,Injen 12 Subaru Impreza 2.0L 4cyl Black Cold Air Intake w/ MR Tech,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP1230WB,Air Filter,Subaru BRZ 2.0L 12+,2.0L,Injen 2013+ Subaru BRZ 2.0L Wrinkle Black Short Ram Intake w/ MR Tech/Air Fusion,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3026BLK,Air Filter,Volkswagen Beetle 12-18 2.5L,2.5L,Injen 05-07 VW MKV Jetta/Rabbit 2.5L-5cyl Black Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3027BLK,Air Filter,Volkswagen Jetta/Bora 2.5 2009,2.5L,Injen 09-10 VW Golf 2.5L Black Cold Air Intake w/ MR Tech/Air Fusion/Nano-Fiber Filter (NO MAF),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3027P,Air Filter,VW Golf 2.5L 09-10,2.5L,Injen 09-10 VW Golf 2.5L Polished Cold Air Intake w/ MR Tech/Air Fusion/Nano-Fiber Filter (NO MAF),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3070P,Air Filter,Volkswagen Golf GTI MKV MK5 2.0T,2.0T,Injen 06-08 Golf GTi (Before May of 08) / Jetta Gti / A3 2.0T 6 Spd Polished Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3071BLK,Air Filter,Volkswagen MKVI GTI 2.0L 10-12,2.0L,Injen 10-12 VW MKVI GTI 2.0L TSI Black Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3071P,Air Filter,VW MKVI GTI 2.0L TSI Polished Cold Air Intake,2.0L,Injen 10-12 VW MKVI GTI 2.0L TSI Polished Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3075BLK,Air Filter,VW MKVI GTI 2.0L TSI Polished Cold Air Intake,2.0L,Injen 10-12 VW MKVI GTI 2.0L TSI Polished Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3075P,Air Filter,VW MKVI GTI 2.0L TSI Polished Cold Air Intake,2.0L,Injen 10-12 VW MKVI GTI 2.0L TSI Polished Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3085WB,Air Filter,Audi A7 3.0L Supercharged 12-18,3.0L,Injen 12-18 Audi A7 3.0L Supercharged Wrinkle Black Cold Air Intake w/ MRI Tech & Air Horn,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP3087BLK,Air Filter,Audi A4 B9 2.0T 17-19,2.0T,Injen 17-19 Audi A4 2.0T Black Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP6064BLK,Air Filter,Mazda 3 2.5L 10-13,2.3T,Injen 10-12 Mazda 3 2.5L-4cyl Black Cold Air Intake w/ Silicone Intake Hose,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP6066BLK,Air Filter,Mazda 3 2.5L 4 Cyl Black Short Ram Tuned Intake System w/ MR Technology,2.5L,Injen 14-18 Mazda 3 2.5L 4 Cyl Black Short Ram Tuned Intake System w/ MR Technology,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP6067BLK,Air Filter,Mazda 3 2.5L 10-13,2.3T,Injen 10-12 Mazda 3 2.5L-4cyl Black Short Ram Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP9001BLK,Air Filter,Focus ST 13-16,2.0T,Injen 13-14 Ford Focus ST 2.0L (t) 4cyl Black Short Ram Intake w/MR Tech & Heat Shield,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP9003WB,Air Filter,Ford Focus RS Wrinkle Black Cold Air Intake,2.3L,Injen16-18 Ford Focus RS Wrinkle Black Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP9017BLK,Air Filter,Ford Fiesta 4L 1.6 +14,1.6L,Injen 14-19 Ford Fiesta 1.6L Black Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP9018WB,Air Filter,Ford Fiesta ST 4L 1.6T 16-19,1.6T,Injen 16-19 Ford Fiesta ST 1.6L Turbo 4Cyl Wrinkle Black Short Ram Intake w/MR Tech,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Injen,SP9064P,Air Filter,Ford Fusion 4L 2.0T +13,2.0T,Injen 13 Ford Fusion 2.0L Eco Boost 4Cyl Short Ram Intake w/MR Tech & Heat Shield Polished,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovate Motorsports,3918,Electronics,Universal,All,Innovate MTX-L PLUS Digital Air/Fuel Ratio Gauge Kit 8ft w/O2 Sensor,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovate Motorsports,38540,Electronics,Universal,All,Innovate MTX Digital Exhaust Gas Temperature (EGT) Gauge Kit,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovate Motorsports,39360,Electronics,Universal,All,Innovate MTX-OL PLUS Wideband Digital Air/Fuel Ratio OLED Gauge Kit 3ft w/O2 Sensor,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovate Motorsports,15-0048,Electronics,Universal,All,Innovate 4 BAR MAP Sensor for MTX-D / SCG-1,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovative Mounts,90650-75A,Engine,Honda Civic Si/Type-R/Acura RSX 01-06,2.0L,Innovative 02-05 Civic K-Series Black Steel Mounts 75A Bushings (Not K24 Trans),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovative Mounts,90850-85A,Engine,Honda Civic K-Series 06-11,2.0L,Innovative 06-11 Civic K-Series Black Steel Mounts 85A Bushings (Not K24 Trans),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Innovative Mounts,B90650-75A,Engine,Honda Civic Si/Type-R/Acura RSX 01-06,2.0L,Innovative 02-06 Acura RSX K-Series Silver Aluminum Mounts 75A Bushings (Not K24 Trans),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS08SW1DOCB,Turbo/SC,Subaru Impreza WRX/STi +15,2.5T,Invidia 08-19 WRX/STI Down-Pipe w/ High Flow Cat,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS08SW1DPN,Turbo/SC,Subaru WRX/STi +08,2.5T,Invidia 08+ WRX/STi Polished Divorced Waste Gate Downpipe Catless,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS08SW4TRG,Exhaust,Subaru WRX/STi 08-14 Sedan,2.5T,Invidia 08-14 WRX/STi 4 Door 80mm Single Outlet Full Titanium Cat-Back Exhaust,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS09N7ZGD1GT,Exhaust,Nissan 370Z +09,3.7L,Invidia 2009+ Nissan 370Z Dual N1 GT Titanium Tip Cat-back Exhaust,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS11STI5TG4ST,Exhaust,Subaru WRX/STi 08-14 Sedan,2.5T,Invidia 11-14 WRX/STi Gemini 80mm Full Titanium 101mm Quad Tip Cat-Back Exhaust,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS15STIGM4SB,Exhaust,Subaru WRX/STi +15,2.5T,Invidia 2015+ Subaru WRX / STI Gemini/R400 Single Layer Quad Black Tip Cat-Back Exhaust,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Invidia,HS15SWADPO,Turbo/SC,Subaru Impreza WRX 2.0T CVT +15,2.0T,Invidia 15+ Subaru WRX Automatic Trans Down Pipe,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ISC Suspension,C502B-S,Suspension,Dodge Challenger 11-16,6.2L/6.4L,ISC Suspension 11-16 Chrysler 300C Basic Coilovers - Street Sport,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ISC Suspension,F030-T,Suspension,Ford Mustang GT 4.6 05-14,4.6L,ISC 05-14 Ford Mustang S197 N1 Coilovers - Track,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,J&L,3011D-B,Engine,Ford Mustang GT +15,5.0L,J&amp;L 2011-2017 Ford Mustang GT Driver Side Oil Separator 3.0 - Black Anodized,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,J&L,3011P-B,Engine,Ford Mustang GT +15,5.0L,J&amp;L 2011-2017 Mustang GT; 2015-2020 GT350 Passenger Side Oil Separator 3.0 - Black Anodized,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,J&L,3030P-B,Engine,Ford Mustang 15-22,5.0L,J&L 15-19 Ford Mustang GT/15-19 Ford Mustang GT350 Passenger Side Oil Separator 3.0 - Black Anodized,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,J&L,3080P-B,Engine,Chevrolet Camaro SS +10,6.2L,J&L 10-15 Chevrolet Camaro LS3 6.2L Passenger Side Oil Separator 3.0 - Black Anodized,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,JE Pistons,242194,Engine,Honda K24,K24 2.4L,JE Pistons ACUR K24A3/K20A2 KIT Set of 4 Pistons,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,JE Pistons,322287,Engine,Nissan 300ZX V6 3.0L,3.0L,JE Pistons Nissan VG30 87mm Bore 9.0:1 -5.5cc Dome Piston Kit (Set of 6),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,JE Pistons,359152,Engine,Subaru BRZ +12,FA20D 2.0L,JE Pistons Toyota 4U-GSE 86.00mm Bore STD Size 12.5:1 CR -1.0cc Dome FSR Piston (Set of 4),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,JE Pistons,JG1001-3386,Engine,Subaru BRZ +12,2.0L,JE Pistons Ring Sets 1.0-1.2-2.8-3.386 (each),$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,332865,Air Filter,Volkswagen Jetta 4L 1.9T 07,1.9T,K&N 05-10 VW Jetta/Passat / 07-10 Tiguan / 09-10 GTi / 06-09 EOS Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2001,Air Filter,Filter VW F/I Cars 75-92,All,K&N Replacement Filter VW F/I Cars 75-92,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2010,Air Filter,Replacement Filter NISSAN CARS F/I 1977-89,All,K&N Replacement Filter NISSAN CARS F/I 1977-89,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2019,Air Filter,Ferrari 308 2-VLV,2.9L,K&N Replacement Filter FERRARI 308 2-VLV,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2024,Air Filter,Volkswagen Pointer,1.6L,"K&N Replacement Filter Filter, FORD/MERC 2.3/2.9/4.0L 89-94, 3.0L 86-97, 3.8L 88-95",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2029,Air Filter,Volkswagen 1.6/1.8L 83-97,1.6L/1.8L,"K&N Replacement Filter Filter, VW 1.6/1.8L 83-97, 2.0/2.8/2.9L 91-97",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2031-2,Air Filter,Nissan Altima V6 3.5 02-06/Tsuru 1.6L,VQ35DE 3.5L/1.6L,K&N 88-08 Nissan 1.8L / 87-05 Nissan/Infinity 3.0L / 00-09 3.5LDrop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2036,Air Filter,90-96 Nissan 300ZX 3.0L / 95-01 Honda Civic V 1.4/1.6L Drop In Filter,1.6L,K&N 90-96 Nissan 300ZX 3.0L / 95-01 Honda Civic V 1.4/1.6L Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2042,Air Filter,Chevy/Pontiac 3.4L - 93-95 3.8L / 93-97 5.7L 95-97,3.4L,K&N 95-97 Chevy/Pontiac 3.4L - 93-95 3.8L / 93-97 5.7L Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2067,Air Filter,"Chrysler / Dodge V6 2.2, 2.4",2.2L/2.4L,"K&N Replacement Filter CHRYS,DODGE,PLY. 2.2L,2.4L,V6",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2069,Air Filter,Volkswagen Golf/Jetta 2.0L 93-99,2.0L,"K&N Replacement Filter Filter, VW GOLF/JETTA 2.0L 93-99, CABRIO 2.0L 95-02",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2070,Air Filter,BMW 2.0/2.2/2.5/2.8/3.0/3.2L Drop In Filter,All,K&N 90-06 BMW 2.0/2.2/2.5/2.8/3.0/3.2L Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2072,Air Filter,Chrysler/Plymouth/Dodge/Mitsubishi/Mazda Drop In Filter,All,K&N 91-05 Chrysler/Plymouth/Dodge/Mitsubishi/Mazda Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2075,Air Filter,Subaru STi 04-07,2.5T,K&N 04-07 Subaru STi K&N Drop In Filter,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,K&N,33-2087,Air Filter,Dodge,All,"K&N Replacement Filter DODGE, PLYMOUTH, CHRYSLER 1995-2002",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
